ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_249f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
915215.96,14.73,2.47,850200.42,13.69
915192.97,14.74,2.47,850073.27,13.69
914968.7,14.73,2.47,849898.6,13.69
914777.64,14.73,2.47,849721.2,13.69
914130.14,14.73,2.46,848969.54,13.68
914130.14,14.73,2.46,849008.31,13.68
914130.14,14.73,2.46,848990.06,13.68
913482.64,14.72,2.45,848238.4,13.67
913258.36,14.72,2.45,848042.93,13.66
912799.67,14.71,2.45,847480.07,13.66
912340.97,14.7,2.44,846917.22,13.65
912340.97,14.7,2.44,846917.22,13.65
912340.97,14.7,2.44,846917.22,13.65
912149.92,14.7,2.44,846739.63,13.65
911925.64,14.7,2.44,846551.76,13.65
911734.59,14.7,2.44,846374.36,13.65
911510.31,14.7,2.44,846178.9,13.65
910862.81,14.69,2.43,845427.23,13.64
910671.75,14.69,2.43,845163.86,13.64
910213.06,14.69,2.42,844601.0,13.63
910213.06,14.69,2.42,844601.0,13.63
909988.78,14.69,2.42,844491.51,13.63
909797.73,14.68,2.42,844228.13,13.63
910015.06,14.69,2.42,844559.93,13.63
908796.94,14.69,2.42,843508.53,13.63
908605.88,14.69,2.42,843249.48,13.63
908381.61,14.69,2.42,843135.67,13.63
908190.55,14.69,2.42,842958.27,13.63
907891.81,14.68,2.42,842681.93,13.63
907891.81,14.68,2.42,842332.26,13.62
907891.81,14.68,2.42,842332.26,13.62
907891.81,14.68,2.42,842332.26,13.62
906910.63,14.69,2.42,841942.64,13.63
906529.02,14.68,2.42,841561.35,13.63
906604.48,14.68,2.42,841686.21,13.63
906496.97,14.68,2.42,841474.54,13.63
906272.7,14.68,2.42,841279.07,13.63
905688.19,14.67,2.41,840694.56,13.62
905229.49,14.67,2.4,840131.7,13.61
904469.45,14.66,2.4,839297.07,13.61
904501.94,14.66,2.4,839225.4,13.61
904639.63,14.67,2.4,839313.02,13.61
904415.35,14.67,2.4,839138.35,13.61
903655.31,14.66,2.4,838303.72,13.6
903464.25,14.66,2.4,838115.99,13.6
903464.25,14.66,2.4,838115.99,13.6
903005.56,14.66,2.39,837553.13,13.6
902270.6,14.66,2.39,836905.08,13.59
902046.32,14.65,2.39,836719.94,13.59
902046.32,14.65,2.39,836369.66,13.59
901587.63,14.65,2.38,835806.81,13.58
901288.89,14.64,2.38,835550.99,13.58
901097.83,14.64,2.38,835287.62,13.57
900873.56,14.64,2.38,835178.13,13.58
900414.86,14.64,2.37,834615.27,13.57
899767.36,14.63,2.36,833863.61,13.56
899576.3,14.63,2.36,833686.02,13.56
899352.03,14.63,2.36,833498.15,13.56
898704.52,14.62,2.35,832872.13,13.55
898513.47,14.62,2.35,832684.4,13.55
898289.19,14.62,2.35,832499.27,13.55
898289.19,14.62,2.35,832499.27,13.55
897830.5,14.61,2.35,831936.41,13.54
897639.44,14.61,2.35,831759.01,13.54
897415.17,14.61,2.34,831563.55,13.54
896956.47,14.6,2.34,831000.69,13.53
896765.42,14.6,2.34,830737.32,13.53
896765.42,14.6,2.34,830737.32,13.53
896541.14,14.6,2.34,830627.82,13.53
896125.81,14.6,2.34,830254.96,13.53
895478.31,14.59,2.33,829503.29,13.52
895287.25,14.59,2.33,829325.89,13.52
894306.07,14.59,2.33,828586.61,13.52
893847.37,14.59,2.32,828149.4,13.52
893623.1,14.59,2.32,827953.93,13.52
893760.78,14.59,2.33,828041.55,13.52
893536.51,14.59,2.32,827879.03,13.52
893345.45,14.59,2.32,827701.63,13.52
893121.18,14.59,2.32,827506.16,13.52
892930.12,14.59,2.32,827242.79,13.51
892705.85,14.59,2.32,827133.3,13.51
892843.53,14.59,2.32,827025.41,13.51
892726.03,14.59,2.32,826803.74,13.51
892830.49,14.59,2.33,827214.12,13.52
892182.99,14.58,2.32,826462.46,13.51
891632.23,14.58,2.31,825688.37,13.5
890887.98,14.57,2.3,824944.12,13.49
890887.98,14.57,2.3,824944.12,13.49
890887.98,14.57,2.3,824944.12,13.49
889870.56,14.57,2.31,824482.99,13.5
889679.5,14.57,2.3,824219.62,13.5
889455.23,14.57,2.3,824110.13,13.5
889079.69,14.56,2.3,823461.28,13.49
889297.03,14.57,2.3,823634.73,13.49
889105.97,14.57,2.3,823447.0,13.49
888578.67,14.56,2.3,822370.08,13.48
888039.2,14.56,2.29,821880.59,13.47
888039.2,14.56,2.29,821880.59,13.47
887756.6,14.55,2.29,821644.45,13.47
887973.93,14.56,2.29,821835.92,13.47
887675.19,14.55,2.29,821567.95,13.47
887651.1,14.56,2.29,821062.03,13.46
887651.1,14.56,2.29,821062.03,13.46
887525.51,14.55,2.29,820860.48,13.46
887334.45,14.55,2.29,820683.08,13.46
887310.37,14.56,2.29,820177.16,13.45
886995.97,14.55,2.29,819794.97,13.45
886453.01,14.55,2.28,819224.09,13.44
885718.05,14.54,2.28,818576.04,13.44
885876.73,14.55,2.28,818760.02,13.44
885141.77,14.54,2.28,818111.97,13.44
884968.71,14.54,2.28,817310.69,13.43
884777.66,14.54,2.28,817133.3,13.43
884777.66,14.54,2.28,817133.3,13.43
884478.92,14.54,2.27,816775.66,13.43
884254.64,14.54,2.27,816580.19,13.43
884063.59,14.54,2.27,816321.14,13.42
884039.39,14.54,2.27,815909.22,13.42
883815.11,14.54,2.27,815795.41,13.42
883516.37,14.53,2.27,815545.09,13.42
883134.77,14.53,2.26,815228.49,13.41
882943.71,14.53,2.26,814972.86,13.41
882719.44,14.53,2.26,814855.63,13.41
881702.01,14.53,2.26,814044.22,13.41
881919.34,14.53,2.27,814217.68,13.42
881728.29,14.53,2.27,814040.28,13.42
881504.01,14.53,2.27,813844.82,13.42
881341.64,14.53,2.27,814106.19,13.42
880960.04,14.53,2.26,813773.58,13.42
